id,coordinates,highway,length,lanes,tunnel,bridge,maxspeed,width,alley,roundabout
979,"[[116.4294788, 39.9095765], [116.4293376, 39.9103577]]",12,87.696,3,0,0,0,0,0,0
981,"[[116.4293376, 39.9103577], [116.428946, 39.9120808], [116.4288482, 39.91257], [116.4287758, 39.9132196], [116.4287576, 39.9137327], [116.4287657, 39.9142362], [116.4287203, 39.9154483]]",12,569.919,3,0,0,0,0,0,0
989,"[[116.3525568, 39.9857615], [116.3508425, 39.9857012], [116.3479723, 39.9856187], [116.3470413, 39.9855908], [116.3467163, 39.9855792], [116.3439757, 39.9854679], [116.3417903, 39.9853893]]",12,918.237,4,0,1,0,0,0,0
1022,"[[116.4430883, 39.953476], [116.4432003, 39.9535759], [116.4439804, 39.9542717], [116.4441956, 39.9544636], [116.4448421, 39.9550402]]",12,229.345,2,0,0,0,0,0,0
1024,"[[116.4482317, 39.9580377], [116.448561, 39.9583039], [116.4488118, 39.9584468], [116.4494734, 39.9587813]]",12,134.978,2,0,0,0,0,0,0
1026,"[[116.4494734, 39.9587813], [116.449974, 39.9590476], [116.4502839, 39.9592397], [116.4504605, 39.9593626], [116.4507187, 39.9595618], [116.4508742, 39.9596885], [116.451045, 39.9598297], [116.4511436, 39.9599215], [116.451241, 39.960012]]",12,204.48,2,0,0,0,0,0,0
1027,"[[116.451241, 39.960012], [116.451289, 39.9600567]]",12,6.438,2,0,0,0,0,0,0
1028,"[[116.4518925, 39.9606115], [116.4528199, 39.9614529], [116.4532415, 39.9618354], [116.4599713, 39.9679038], [116.4604548, 39.9683113], [116.4607185, 39.9685336]]",12,1158.401,2,0,1,0,0,0,0
1177,"[[116.4664635, 39.8920879], [116.4631328, 39.8920979], [116.4615169, 39.8921028], [116.4608137, 39.8921049]]",4,482.015,2,0,0,0,0,0,0
1178,"[[116.4713424, 39.8919881], [116.4696141, 39.8920207]]",4,147.494,2,0,0,0,0,0,0
1180,"[[116.4840688, 39.8919891], [116.483836, 39.8919903]]",4,19.862,2,0,0,0,0,0,0
1181,"[[116.4840688, 39.8919891], [116.4840597, 39.8927623], [116.4839931, 39.8929485]]",8,107.45,3,0,0,0,0,0,0
1183,"[[116.3395458, 39.896547], [116.3376563, 39.8964239], [116.3350278, 39.8963004], [116.3318933, 39.8961265]]",12,654.53,3,0,1,0,0,0,0
